,listing_id,id,date,reviewer_id,reviewer_name,comments
26315,53509990.0,6.7663e+17,7/22/2022,252290168.0,Maria Georgia,"This airbnb is totally not worth it for the money and overpriced And not to mention that sitting at the balcony you can sometimes hear people moaning from all the brothels near by… There was visible dirt in the bathroom, the hand soap container was very dirty and there was no toilet paper holder The living room was also dirty, under the couch you could see used plastic cups and a lot of dirt In the bedroom, there was a big hole in the wall as well All the tables were very unstable and in general this apartment was very low quality"
26316,54005556.0,7.07705e+17,9/3/2022,471720029.0,Andee, Location is tough to beat at this price point
26317,53509990.0,7.04076e+17,8/29/2022,25625655.0,Emily," The location for us didn’t feel safe, wouldn’t recommend for women It also had a lot of broken furniture, the white hanging chair from the rooftop, broken spoons in the draw, furniture was unstable & a bit cheap Not worth the money, Would recommend other ares like Plaka, Monastiraki"
26318,53509990.0,7.12033e+17,9/9/2022,48158644.0,Bill," If you’re looking for a cultural, lively neighborhood this is not it"
26319,53509990.0,7.25844e+17,9/28/2022,28803427.0,Michelle," It was also challenging to get our luggage from the train to the bnb, as the roads/sidewalks aren't great for hauling luggage We also, unfortunately, couldn't get the shower to work which was disappointing"
26320,53805791.0,7.33788e+17,10/9/2022,105103594.0,Bea, Location was disappointing
26321,54005556.0,7.50516e+17,11/1/2022,73244394.0,Jayne," One word of warning, if you decide to use the Metro, especially from the airport to the city center, be careful! As in all big cities, pickpockets are everywhere and waiting for you"
26322,54005556.0,7.86755e+17,12/21/2022,292406160.0,Rachit, But the location is on main road which makes is noisy especially if you are staying over the weekend
26323,53509990.0,7.84626e+17,12/18/2022,177364394.0,Dionisis, the area doesn't have the best reputation
26324,53805791.0,8.28989e+17,2/17/2023,58773851.0,Nathalie, When we arrived there was a nasty hairball in the shower & the towels reeked of cigarette smoke One of the rooms’ heat was not working and we were having ongoing issues with receiving hot water Ultimately we could not stay longer as it was not a fit for us When we got back home I received a nasty message from the host accusing us of damages and stealing items that we did not take that conveniently added up to around what we were refunded for We had no reason to steal or break anything we are working professionals who do not need to steal cheap glasses and pans or vandalize a home Please just be weary of this host
